index,image,PSNR,SSIM,LPIPS
276,00276.png,40.6755092927834,0.9949705870601275,0.007916850969195366
279,00279.png,40.87473570132849,0.9947867357314453,0.007968038320541382
282,00282.png,38.67253183605249,0.993754385535386,0.010845618322491646
285,00285.png,40.26633869258434,0.9947006454328888,0.012011326849460602
288,00288.png,40.24830650366386,0.9954181002915272,0.01156124658882618
291,00291.png,40.90892107708025,0.995302802497586,0.01036169845610857
294,00294.png,40.320859833464255,0.9959100690951926,0.007899511605501175
297,00297.png,40.88172615486768,0.9968183661356874,0.006073587574064732
300,00300.png,38.687806356010874,0.9965340129441722,0.007075019180774689
303,00303.png,38.57451677294991,0.9963592427553715,0.008020266890525818
306,00306.png,37.390674864598004,0.9954518892846229,0.010942523367702961
309,00309.png,38.88872379058979,0.9964882787382373,0.008298945613205433
312,00312.png,32.68148180782419,0.9940548948075205,0.01214599609375
315,00315.png,25.684667612437746,0.9833308973108952,0.019567037001252174
318,00318.png,35.02829976888894,0.9942819050090985,0.009152238257229328
321,00321.png,21.687557757552437,0.9772381529587348,0.03134092688560486
324,00324.png,30.62041112579964,0.9940653812019323,0.008221016265451908
327,00327.png,28.559362534238698,0.9881149007142167,0.008614731952548027
330,00330.png,36.02646085890263,0.9936777057563613,0.008766654878854752
333,00333.png,38.316691900825916,0.9953024831208246,0.008146950975060463
336,00336.png,39.003444888377565,0.9953246278855585,0.00859103538095951
339,00339.png,42.06643124736496,0.9957138572777704,0.007364789489656687
342,00342.png,41.27471726858212,0.9952842246228655,0.00954348873347044
345,00345.png,40.844408634031865,0.9949662440492779,0.011827602982521057
348,00348.png,41.51126325718867,0.9956948542967822,0.010562686249613762
351,00351.png,35.49004870629487,0.994865099079513,0.0099381348118186
354,00354.png,33.730035084034746,0.9948590273224099,0.008494788780808449
357,00357.png,33.73527803637959,0.9958725243196378,0.006682049483060837
360,00360.png,37.63075094328758,0.9963906055554702,0.008655889891088009
363,00363.png,37.80434965118492,0.9964025913091829,0.008104106411337852
366,00366.png,35.27681446055184,0.9938221735963534,0.011868149042129517
369,00369.png,24.0055824653569,0.9862507061274722,0.020224658772349358
372,00372.png,35.79200266087788,0.9943900513159014,0.010312013328075409
375,00375.png,21.52490374362997,0.9681244635506617,0.03480952978134155
378,00378.png,32.68308985016449,0.9923459109369966,0.01122951414436102
384,00384.png,32.116197053398906,0.9924928875587022,0.011366087011992931
387,00387.png,29.703480655870198,0.9896649370364471,0.008097176440060139
390,00390.png,33.63323472851918,0.994141740262842,0.007598303724080324
393,00393.png,39.75141626650453,0.9951220968935526,0.009276340715587139
396,00396.png,41.00943450929485,0.9947804132956896,0.009076093323528767
399,00399.png,42.62295132221625,0.9958983591110083,0.007654157467186451
402,00402.png,42.154440858031215,0.9959880110015095,0.00867614708840847
